13:17:32.317 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@452e19ca, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6b0d80ed, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6f8e8894, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3cfdd820, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@928763c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@e25951c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@15f47664, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@471a9022, org.springframework.test.context.event.EventPublishingTestExecutionListener@dc9876b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2f666ebb, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@19976a65, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@a1f72f5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4b2c5e02, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@57a3e26a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@75c56eb9]
13:17:32.695 [main] INFO  c.s.s.impl.BatchDataServiceImplTest - Starting BatchDataServiceImplTest using Java 1.8.0_321 on DESKTOP-QGOJFOS with PID 36048 (started by Administrator in D:\code\excel-to-database)
13:17:32.697 [main] INFO  c.s.s.impl.BatchDataServiceImplTest - No active profile set, falling back to default profiles: default
13:17:38.666 [main] INFO  c.s.s.impl.BatchDataServiceImplTest - Started BatchDataServiceImplTest in 6.303 seconds (JVM running for 7.445)
13:17:38.964 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:17:41.051 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:17:41.175 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
13:17:41.226 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
13:18:41.500 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.stopping.service.impl.BatchDataServiceImplTest], using SpringBootContextLoader
13:18:41.505 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.stopping.service.impl.BatchDataServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
13:18:41.507 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.stopping.service.impl.BatchDataServiceImplTest]: BatchDataServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
13:18:41.632 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.stopping.ExcelToDBApplication for test class com.stopping.service.impl.BatchDataServiceImplTest
13:18:41.746 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
